imdb_title_id,original_title,year,genre,duration,language,production_company,avg_vote,votes,budget,Good_or_Bad_Movie
tt9469842,Devil's Revenge,2019,Horror,98,English,Cleopatra Entertainment,2.8,191,1500000,0
tt7846056,Feast of the Seven Fishes,2019,Comedy,99,English,Allegheny Image Factory,6.6,422,20000000,0
tt7292306,If You're Gone,2019,Drama,114,English,Every New Day Pictures,5.8,199,1000000,0
tt8910924,The Nomads,2019,"Drama, Sport",97,English,Bear Bear Productions (II),8.2,1149,1700000,1
tt8350360,Annabelle Comes Home,2019,"Horror, Mystery, Thriller",106,English,Atomic Monster,5.9,53649,30000000,0
tt9840958,Love Struck Sick,2019,Romance,92,English,,7.2,249,7000,1
tt7752126,Brightburn,2019,"Drama, Horror, Mystery",90,English,Screen Gems,6.1,74226,6000000,0
tt7187768,Safe Spaces,2019,"Comedy, Drama",93,English,BondIt Media Capital,5.7,447,500000,0
tt7390646,Black and Blue,2019,"Action, Crime, Drama",108,English,Hidden Empire Film Group,6.3,13332,12000000,0
tt7491732,Nesting Dolls,2019,Thriller,103,English,Das Haus,5.2,158,75000,0
tt8186318,Overcomer,2019,"Drama, Family, Sport",119,English,Affirm Films,6.6,3413,5000000,0
tt9815714,The Hard Way,2019,Action,92,English,Actionhouse Pictures,4.8,2357,3000000,0
tt7825558,Home with a View of the Monster,2019,"Drama, Horror, Mystery",97,English,Homefront Pictures,3.7,207,50000,0
tt7783966,The Challenger Disaster,2019,Drama,98,English,Vision Makers,6.2,779,175000,0
tt7394816,Primal,2019,"Action, Thriller",97,English,Daniel Grodnik Productions,4.9,4212,9000000,0
tt9685652,Greyhound Attack,2019,"Action, Drama, War",80,English,Forbesfilm,1.2,215,1500000,0
tt9670282,Zoombies 2,2019,"Action, Adventure, Comedy",84,English,Slightly Distorted Productions,3.5,329,100000,0
tt7734218,Stuber,2019,"Action, Comedy, Crime",93,"English, Spanish",GoldDay,6.2,37773,16000000,0
tt8196692,Soul Hunters,2019,"Action, Thriller",101,English,Acevedo Smith Productions,6.7,1280,85000,0
tt7246106,Artik,2019,"Horror, Thriller",78,English,TLG Motion Pictures,4.3,627,450000,0
tt5690360,Slender Man,2018,"Horror, Mystery, Thriller",93,English,Screen Gems,3.2,27028,10000000,0
tt5691670,Under the Silver Lake,2018,"Crime, Drama, Mystery",139,English,Vendian Entertainment,6.5,30560,8500000,0
tt2936390,Battle Drone,2018,"Action, Sci-Fi",93,English,Film Tiger,5.2,1773,3500000,0
tt3142428,The Perfect Host: A Southern Gothic Tale,2018,"Drama, Horror, Thriller",93,English,Fabled Motion Pictures,4.1,137,107000,0
tt3024324,Kill Game,2018,Horror,102,English,Full Throttle Pictures,4.0,598,5000000,0
tt8178992,Amazon Hot Box,2018,"Action, Drama, Horror",85,English,Work in Progress,5.8,1037,250000,0
tt1259528,Den of Thieves,2018,"Action, Crime, Drama",140,"English, Polynesian, Spanish",Atmosphere Entertainment MM,7.0,88814,30000000,1
tt5696326,Running for Grace,2018,"Family, Romance",110,English,Kona Snow Pictures,6.1,1234,24000000,0
tt3131050,Delirium,2018,"Horror, Thriller",96,English,Martini Films,3.2,739,3000000,0
tt1620680,A Wrinkle in Time,2018,"Adventure, Family, Fantasy",109,English,Legend3D,4.2,39933,100000000,0
tt7445552,Armenian Haunting,2018,"Drama, Horror, Mystery",78,English,Reel Nightmare Films,2.2,108,30000,0
tt5322168,Snapshots,2018,Drama,95,English,Three Women in a Box Films,6.6,1276,500000,0
tt3060390,Lawless Range,2018,"Drama, Thriller",85,English,Pace Pictures,4.9,323,22000000,0
tt5709188,A-X-L,2018,"Action, Adventure, Family",100,English,Global Road Entertainment,5.3,9875,10000000,0
tt1517451,A Star Is Born,2018,"Drama, Music, Romance",136,English,Warner Bros. Pictures,7.7,318520,36000000,1
tt8097306,Nobody's Fool,2018,"Comedy, Drama, Romance",110,English,BET Films,4.8,6043,19000000,0
tt5304996,The Standoff at Sparrow Creek,2018,"Crime, Drama, Thriller",88,English,Buffalo 8 Productions,6.2,3206,450000,0
tt3104988,Crazy Rich Asians,2018,"Comedy, Drama, Romance",120,"English, Mandarin, Cantonese, Hokkien, French, Malay",Warner Bros.,6.9,133010,30000000,0
tt5335244,The Other Side,2018,"Comedy, Drama, Romance",95,English,BondIt Media Capital,4.1,109,400000,0
tt8165246,My Daughter Vanished,2018,Thriller,85,English,Reel One Entertainment,4.6,102,400000,0
tt5688932,Sorry to Bother You,2018,"Comedy, Fantasy, Sci-Fi",112,English,Cinereach,6.9,57756,3200000,0
tt2531344,Blockers,2018,Comedy,102,English,Point Grey Pictures,6.2,69041,21000000,0
tt5591666,The Domestics,2018,"Action, Horror, Sci-Fi",95,English,Hollywood Gang Productions,5.7,8422,10600000,0
tt5580266,The Hate U Give,2018,"Crime, Drama",133,English,Fox 2000 Pictures,7.4,28869,23000000,1
tt7545524,Ben Is Back,2018,Drama,103,English,Black Bear Pictures,6.7,17229,13000000,0
tt5613484,Mid90s,2018,"Comedy, Drama",85,English,A24,7.4,44512,1700000,1
tt4572700,Mother Krampus 2: Slay Ride,2018,Horror,96,English,Fright Teck Pictures,3.4,158,10000,0
tt5566790,A Futile and Stupid Gesture,2018,"Biography, Comedy",101,English,Artists First,6.8,12978,30000000,0
tt7553766,Trauma Is a Time Machine,2018,Drama,82,English,Constantly Curious Productions,2.8,153,85000,0
tt5291792,Furlough,2018,"Comedy, Drama",83,English,EFC Films,5.5,1382,3000000,0
tt2704998,Game Night,2018,"Action, Comedy, Crime",100,English,Access Entertainment,6.9,198350,37000000,0
tt1413492,12 Strong,2018,"Action, Drama, History",130,"Uzbek, English, Dari, Russian, Spanish",Alcon Entertainment,6.6,64601,35000000,0
tt7558166,Trickster,2018,"Horror, Thriller",79,English,Magnificent Seven Films,3.8,134,110000,0
tt5634556,Truth or Double Dare (TODD),2018,Horror,62,English,Loud Films,2.3,116,1000000,0
tt5441464,The California No,2018,"Comedy, Drama, Romance",84,English,Birthday Suit Productions,4.1,174,25000,0
tt8177638,The Good Exorcist,2018,Comedy,86,English,Flush Studios,5.8,102,7000,0
tt5516404,Hope Springs Eternal,2018,"Comedy, Drama",78,English,Gylden Entertainment,4.8,430,750000,0
tt2482856,The Church,2018,"Horror, Thriller",81,English,Hard Floor Entertainment,2.8,133,1000000,0
tt7558548,Route 80,2018,Drama,93,English,,4.7,108,8000,0
tt5670152,Traffik,2018,"Action, Crime, Drama",96,English,Summit Entertainment,6.0,18154,4000000,0
tt5471472,The Brawler,2018,"Biography, Crime, Drama",95,English,JARS Productions,4.8,401,6000000,0
tt5463162,Deadpool 2,2018,"Action, Adventure, Comedy",119,"English, Cantonese, Spanish, Russian",Twentieth Century Fox,7.7,460610,110000000,1
tt5670364,Saving Flora,2018,"Adventure, Drama, Family",95,English,Dream Factory Group,5.7,300,2600000,0
tt2548396,The Cloverfield Paradox,2018,"Action, Adventure, Horror",102,"English, Mandarin, German",Bad Robot,5.5,92693,45000000,0
tt5688868,Primal Rage,2018,"Action, Adventure, Horror",106,English,,4.9,2703,415000,0
tt2873282,Red Sparrow,2018,"Action, Drama, Thriller",140,"English, Russian",Chernin Entertainment,6.6,159357,69000000,0
tt2854926,Tag,2018,"Action, Comedy",100,"English, Spanish",Broken Road Productions,6.5,109263,28000000,0
tt7153766,Unsane,2018,"Drama, Horror, Mystery",98,English,Fingerprint Releasing,6.4,38858,1500000,0
tt5278886,The Terrible Two,2018,"Horror, Thriller",84,English,Orange St Films,2.3,310,35000,0
tt4730224,An Hour to Kill,2018,"Action, Comedy, Horror",96,English,Rotten Productions,8.2,2154,60000,1
tt7712746,Alpha Wolf,2018,"Horror, Thriller",85,English,Alpha Wolf Productions,3.1,265,1200000,0
tt4881806,Jurassic World: Fallen Kingdom,2018,"Action, Adventure, Sci-Fi",128,"English, Russian",Universal Pictures,6.2,256534,170000000,0
tt3920820,Brian Banks,2018,"Biography, Drama, Sport",99,English,ShivHans Pictures,7.2,3876,10000000,1
tt3956336,American Dresser,2018,Adventure,97,English,The Film House,5.2,304,18000000,0
